titles,reviews,ratings
"
Impressive..
","
It is a wonderful mobile mainly in camera performance was very impressively and i am big fan of Samsung mobiles that's why i bought this mobile and i am fully satisfied but there is some cons also there like battery was drained early and charge mobile twice a day and fingerprint was slowly however overall product was very good and reasonable to buy
",4
"
Phone is heating
","
Phone is heating I don't know why even I'm not playing games just I'm using face book to watch videos after 5  mints phone is getting heat
",4
"
Excellent
","
Best phone
",4
"
Good
",,4
"
Slow finger print and face scan
","
Responsiveness of Fingerprint sensor and face scan is pretty slow . And battery life definitely doesn't match claims but is decent
",4
"
Nice worth of money
","
Good
",4
"
Bought this for Rs 26500 and worth every penny
","
Even though this phone was launched 2 years back but 865 processor is still worth Rs 26500. The Camera is just amazing! other mid-rangers like M52 , A52s etc. are not even close.The battery is decent but since my usage includes normal day-to-day functions - WhatsApp, YouTube, Chrome,5-10 photo clicks and some paytm types app and I set the refresh rate to 60Hz, I am able to use it for 2 days easily on single charge. The phone comes by default with screen guard which is not tempered glass but does provide some protection. The back cover is glasstic and needs some protection, Either the phone cover is such that or best is to get a film protection for its back as well just like screen.Overall Battery is 8.5/10(For normal usage where 60Hz refresh rate is also fine)Camera is 10/10, front Camera  =  9/10Performance for normal user = 10/10(Not sure about gamers)In-Hand Feel is perfect= 9/10Screen Quality  = 10/10
",5
"
Very Smooth phone
","
DisPlay- 5 star.Processor- 5 Star-5G Ready powered by Qualcomm Snapdragon 865 Octa-Core processor.Battery- 3.5 Star-Speaker- 5 star.Fingerprint-3.5 star.Camera-5 star.Design- 5 star.Build quality- 5 star.Display:The display has a Super Amoled Panel. It has a fast refresh rate of 120hz. The colors are saturated as usual in a Super Amoled panel. The display is very bright as well. It is very smooth.UI:Packed of features. There is no doubt that Samsung is one of the best UI out there for Android.Battery:The phone has 4500mah. Easily lasts a day. Could last even longer if used in 60hz. The phone supports upto 25w charging. It also supports reverse charging. It even supports reverse wireless charging!!Performance: A top of the line processor by Samsung. Would've been better if the indian version had gotten the Snapdragon 865 chipset. But the 5g Version does have SD 865 but it is much more costlier.Camera:The camera sure is 12MP but it takes much more details than expected by a 12MP camera. It is a very capable capable unit under bright environments. But you can see lots of noise in dark environments.Finaly.Cons:1. Battery drains fast.2. It supports 25W charging but comes with 15W charger.3. Little Heating problem.Pros:1. Fully water proof.(IP68 Rated).2. Powerful Processor.3. Camera is super good.
",5
"
Good budget phone for one's who want good camera
","
Good budget phone
",5
"
Superb camera, speed, resolution
","
Amazon screwed up delivery for the first time. I cancelled and ordered again after a week availing exchange offer. Plus, got discount on using a certain credi card. For 25k, this is a fantastic phone. The camera is outstanding. I have a DSLR and can confidently say that this pictures from this phone are as good as that, quality wise. Thanks to 8GB RAM, the phone functions smoothly. The screen resolution is top notch. I read a lot of complaints on screen conking off after few days. It's been 10 days since I have been using the phone. Thankfully, no issues for me yet. Hoping for the best 😄 The phone charges very quickly and battery life is very good for a moderate user like me who doesn't watch too many videos or okays games. Overall a fantastic phone at this price range. Go for it 👍👍
",5
"
Fabulous phone
","
Nice phone
",5
"
Great Mobile by Samsung
","
S20 FE 5g is very good product. I like the look and feel . Its real nice. Network connectivity is excellent. I get good 4G plus network.  5g is still not launched in my city. So can't talk about 5g. Bettery optimisation is very good. And nothing to say more about the software experience.  Its Samsung One UI. Just Great , no lag , no bug . I find it like this. So finally it a very good product by Samsung.
",5
"
Best Midrange mobile at 30k
","
Bought this for 30k (In prime sale + Bank offers and No COST EMI).Screen: Absolutely stunning, it supports 60Hz and 120Hz. It doesn't switch automatically between these settings, you need to select it from settings.Rear Camera: Really nice, seriously good. Not just good enough.Front camera - A bit disappointed, it's good but not as good as rear camera.Performance - You can play games like Call of duty or BGMI at Max graphics settings that the game supports. It heats up a bit after playing for a hour. Which is absolutely normal considering it has Snapdragon 865 and as saying goes with great processors comes a little bit of heatings. Just know that it's normal, don't expect any mobile to not heatup while charging or doing heavy works. That's universal.Finger Print reader - Good, no complains. Won't feel any significant delay or issues.Charger - It comes with 15W USB type C charger and it takes 1 hour 30 minutes to fully charge the battery. Mobile however supports upto 25W charger and it also supports wireless charging which I haven't tested. Don't buy a separate 25W charger for this, because the 25W charger takes only 10 minutes less than 15W charger to fully charge it.Sim cards - Supports 2 5G sim cards and upto 1TB (confirm this) expandable storage. However the slot is hybrid, it means you can't use both sim cards and external memory card at once. Either use both sim cards or 1 Sim card and external memory card.I don't think you will need external memory card because it has 128GB internal storage which is enough for normal users.It comes with Android 12 and Samsung one UI 4.1 and will support updates upto Android 13.It doesn't have headphone jack.Box contains - Mobile, Charger and Charger cable. Sim ejector.Amazon usually have discount (without prime sale), so don't buy without any discounts.As of August 2022, Expect it around 30k to 33k. Don't buy above this price because it randomly comes down to this price on some days.Personal suggestion: buy a cover ASAP. I droped it next morning and fortunately nothing broke, got a scratch around camera bump. Camera bump is made of glass-ish stuff and it can break very easily. So just keep that in mind.
",5
"
Amazing mobile with snapdragon 865 it’s rocket
",,5
"
Compele package
","
Awesome cameraGood battery life for moderate userExcellent performanceGot this phone under 25k after all discount. No other phone can beat this jem in this price range.
",5
"
Superb deal !!
","
Everything is good and perfect , if you can get it below 28k in offer then must go for it , always a best deal..😄
",5
"
Worst service provided by Amazon Don't buy this.
","
Please , Don't buy this product ""samsung galaxy M13"" specially from Amazon.This product I have purchased from Amazon, I faced the problem  .....The mobile is being hanged continuously and after inserting the sim the network is not showing........This problem I have discussed with customer care and first of all I wanted to return this product and I wanted to take my refund back but the thing is what they started a process like to send the technician to delivery address and after that the technician called that and we told him to visit our address and he forced not to come on delivery address. According to technician he said he will resolved the issue on call.....one application we installed that he want for testing purpose after that he sent screen-shot on my personal mobile number in that he had selected hardware issue and said that now you can return the product. But the main thing is I am unable to return this because there is no option available for this ...I tried to call the technician again, he is not recieving my call....so called customer care again....... we talked with customer care and what they said we will send the technician again...but we want our refund back but they forced me to send the technician again and repeat the process again.....But why should I do this process again this is not our fault.....I want my refund back.This product I had purchased for my mother and I have faced this problem.I request you all please don't buy this mobile or any mobile from Amazon... You can all face the same problem as we have faced....In logo paiso ki koi kadar nahi he. Ek person mehnat krk paisa kamata he or ye logo haram ki khane ki padi he.Kl se inke kisi family member ko gift de rahe he or problem ho ink sath bhi....tb inko pta padega.Meri batdua he in sbko ink sath isse bhi worst hona chahiye.....inka paisa or kisi chiz me nikalna chahiye.IF YOU WANT TO THIS PRODUCT OR ANY OTHER PRODUCT I RECOMMEND TO GO TO  THE GOOD MOBILE SHOP AND PURCHASE IT.....DON'T PUT YOURSELF IN THIS TRAP.Thank you
",1
"
Not up to the standard
","
ordered on 12/10/2022 compared to old Samsung, its not up to that quality and standard. exactly 2 months, on 19/12/2022 display not working, no physical damage, no rough use, no water or liquid entry, suddenly not working, but touch working, can answer calls. not recommended at all.
",1
"
We are ditched
","
Very poor Quality phone has been sent to us . Just in a span of 10 days it start hanging and switch off abruptly . I contact Amazon for this , i got a reply that it's not Amazon liability , just contact samsung , I wish to ask that have i bought this phone from Samsung or Amazon ? who is responsible for sending such a defective set phone ?I need my money back on this phone .
",1
"
DON'T BUY THIS PHONE
","
Bought it after seeing 4 star ratings and good! Reviews. But these days all these high ratings are fraud in India atleast. This phone is an example. Only two months after purchase display hangs and hangs and hangs despite deleting videos, apps and caches. This phone doesn't have screen mirroring facility.  Taking screenshots too could've been easier. Total disappointment and unworthy of money. DON'T PURCHASE.
",1
"
Too slow processor
","
I want this product for normal use.....But the Exynos processor is too slow unable to use the phone properly from day 1 ....I have to report an error to the care for the optimization of the phone.... But their reply is to run the Test.Hence, Facing the same problem even after run a test.
",1
"
Not worth the hype and money - Samsung should look at the design quality of M13
","
I had to replace the phone since it was stopping while playing videos and the touch wasn't working. I got a replacement phone and it has the same problems though touch is slightly better. The video playing either won't stop even if you push back button or will keep stopping intermittently as if buffering even with a 100MBps wifi or mobile data. I had to repair by broken Redmi with no option left and it work wonders.I suggest people can skip this phone for a better one. Samsung should look at the design quality of M13
",1
"
The M series phone have software .
","
The M aeries range software are damaged. Samsung offline store sales person said that Samsung has compromised with quality to give features at this price . The M series phone have software defect.  Paccessing internet and need to restart again &again. The Samsung store person said that no offline store is selling M series due to manufacturing defect.
",1
"
Bad display. Contacts app is very pathetic
","
Display is way way way pathetic and dull. No contrasts...gives a feel that oil is spilled over screen. Phone needs to be operated at very high brightness settings.If you have saved a contact without adding+91 which generally is the case... it's not showing the name of saved contact because you have not saved +91 in your contact details.This kind of problem I am facing for the first time in any phone.Even non smart phones worth rs 2000k will show the name of contact if the main 10 digits are correct.This phone is not displaying contact just because you have saved  0 in place of +91 or just saved the 10 digits....
",1
"
Don't waste your money in this phone.
","
Don't waste your money on this phone. Forget about any app installation. Phone is not working with the pre-installed app. Even I have uninstalled few pre-installed app still phone hanged and not working as a normal phone. I have to restart multiple times for a normal operation. Phone is too slow to operate and full of junks. Phone got hanged if you open the settings. So don't waste your time and money on this phone.
",1
"
Worst mobile
","
The samsung and Amazon both fooled people.This is the first time I have tried to return a mobile and had worst experience with Amazon.Key Issues with mobile: Quickly device getting hot. Very much irritated during calls Battery drainage quicklyWorst Amazon support When I reached the CS support, they asked me to wait for a technical agent visit.  But the assigned technical agent left Amazon for more than year and I ended up co-ordinating with  CS support and that person.Again the next person avoided a personal visit and put me on a Minspect app and verified for few min. (Worst app at all and they promised for a personal visit but ended up on-call check)Again after a new call to the support team, they have agreed for a refund and asked me to update my pan card. But Again a new CS person refused that policy 🙄 🤔I don't know whether the intention of CS support is yo solve customer query or to time pass with us to feel irritated
",1
"
Samsung M13  5G Phone  is not Good. Every  thing is slow .
","
I like  Samsung  but  Samsung M13  5G Phone  is not Good. Every  thing is slow . apps  are not  work  smoothly. So I think  you should  not buy it. Present time Samsung phone quality  is very poor  they should improve it . Present  time  Chinese  companies  phone  work  better  than  Samsung  but I hate Chinese  companies.
",2
"
mediocre laggy device
","
I bought this for my dad who is currently using M21 1st edition. Let me list down pros and consPros:1. 6000 mah battery2. Branded device. Current M21 is already running in android 12 from android 10. So future updates is not an issue. Atleast we can expect 2 major updates.3. Charger included in box (15w)Cons:1. Lag lag lag. Even the UI transition every thing is lagging like hell. I dont know how it passed QC. Basic operations like going to contacts, app view , setting everything lags like hell.2. Device feels heavy due to 6000mah battery3.  very very mediocre camera. Okaish output. I am not expecting output like iphone or samsung premium mobiles. But atleast equal to the competitors like redmi at same price range.4. They should move out of 15w charger to atleast 25w qualcomm support. Due to large battery capacity takes long time to charge device to full.5. Loading web pages with lots of images is going to be a problem. For e.g., some people have google news as default home page. For them its going to be really slow.6. Missing amoled which is thr in current m21.Verdict: If you need a branded device at 11 to 14k budget then go to this device. If not go to redmi 10s or iqoo or poco mobiles as they offer better value of money. As soon as I held the device it felt little bit heavy.
",2
"
Good Buget Smart Phone But *Very Slow*
","
I Ordered This Mobile for My father Just for General Usage and it is Very Good Camera , Sound , Battery all is Very Good But the main Problem is that This Phone is Very Slow. all apps take so much time to open and all over processing is SlowCamera 3.5/5Sound 4/5Build Quality 4/5Processor 2.5/5Fingerprint Sensor 4/5
",2
"
Photo hanging all time
","
Photo hanging all time and very slow. Camera is stuck with the last image taken and not moving back and forth
",2
"
Features are not as expected
","
Auto Brightness is not working properlyPhone hangs when watching videos in YouTube.Poor performance of the ramOverall the UX User Experience is not good
",2
"
Performance
","
Samsung Galaxy M13 5G offers an amazing PLS LCD-type display. It has a size of 6.5-inches and produces amazing visuals through its 270ppi pixel density and 1600x 720 pixels density. It also has a 90Hz refresh rate that ensures a smooth scrolling experience...Totally...it'd Very  Superb
",2
"
Internet and system
","
Internet not working,battery quick drying, system is very poor,look not bad,fingerprint not bad,jio network problem,phone is Vodafone operator,
",2
"
Very slow and oversized phone.
","
Fingerprint  works slowly. Sometimes YouTube stop abruptly. You must buying it for your parents but I suggest you to buy RedMi or realme. Because it is too slow.
",2
"
No sensation in vicinity, no gesture emergency light on like Motorola, rather slow ...
","
No sensors in vicinity, no gesture flashlight on like Motorola and slow
",2
"
Camera is very poor
","
Overall phone is ok, but camera quality is not good
",2
"
Good
","
👍
",3
"
Best for battery
","
Battery life is longer than any other phone in this price.Processor is not that good in performance.In low budget it is good product
",3
"
Very good mobile
","
Very good mobile
",3
"
Not some basic features
","
Costly and no screen mirroring feature please add if possible and anight camera very bad and say light camera is good
",3
"
Average quality
","
Quality is average. As we compare with others brands smartphone at this price range they give better specifications
",3
"
Okey according to price
","
Worst packaging from AmazonSmartphone packed in a ordinary long cover .Phone is okay according to the priceDecent camera2day battery backup in extreme usageNegative sideLot of bugs in software side proximity and tap to wake up not working all time may be solved by updatesOverall phone is good for basic users
",3
"
CAUTION:PLS READ ND THEN THINK TO BUY
","
Don't buy it...I have bought phn from Amazon thrice...but in previous 2times there was no issue...now in the 3rd time I have bought this phn everything is alright but YouTube is lagging very much...so I went to the app and tried to return the phn...but Amazon didn't allow me to return the product as they were suggesting to book an appointment with their technician but they didn't have any technician present in this 1 week return time...so that's why I can't return the product now I have to use it...don't know whether it will show any more lags on other apps☹️☹️☹️so guys may be the price is low nd the offer seems good but I would again suggest u to think again before buying any phn not only this
",3
"
Not sure why phone is not getting charged.
","
Overall phone is good ...but getting charging issue within short time..
",3
"
Device performance
","
battery life, fingerprint reader are good. But there is lot of noise while taking foto in low light condition.One must also look the performance of the device. For the price range it's ok but there is drop in performance and frame rate while scrolling through Google news and youtube. Not only these there are lots of lag while using. I have been using m13 4g for 7 days. If you want to buy then go for the M13 5g model which offer more fluidity since it runs on MT D700 (7nm technology) which is more better performance  the exynos 850. Think carefully while buying.
",3
"
Nyc
","
Ok
",3
"
Good
","
Good
",4
"
Good
","
Good
",4
"
Good phone for the price
","
I have not tried the camera but the rest is good,battery is good. Using it for two days found the phone to be good.
",4
"
Camera
","
Front Camera is not done. And baterry fitted in min 6000 mah
",4
"
Value for money @ rs12,000
","
Need improvement of one ui design.Otherwise good mobile for normal use.
",4
"
Great product under 15000
","
Camera,touch and screen quality is good
",4
"
The Best one
","
The best...
",4
"
Good phone
","
Normal uses best phone
",4
"
According to amount mobile is good
","
Battery life is good but mobile work slowly
",4
"
Some dissatisfied samsung M13 mobile functions
","
Screen double touch to wake on screen not working properly, shortcut screen shot not available like palm/ 3 finger, screen recorder not available.
",4
"
Good 👍
","
I feel very happy battery 🔋 life and camera 📷  quality is very good
",5
"
Good phone for basic usage
","
Like the look of mobile and the performance
",5
"
Very Good product
","
Mention the above are Good to use
",5
"
Thats a afortable and advanced in that price
","
Thats a afortable and advanced in that price
",5
"
Good mobile
","
According to price the product is superb.
",5
"
Good quality phone at decent price
","
Nice phone with decent camera quality.value for money
",5
"
Good one for the price range!
","
Efficient and helpful for the price range. Camera is good. Battery - as of now working fine
",5
"
Super Mobile better that price
","
Good mobile and over all good
",5
"
Best Budget Phone 4G version only
","
With the Amazon deals I got it cheaper than market and Samsung has improved with basic models too, runs fine with no hangs till now.
",5
"
Superb mobile
","
Must buy it. 5star quality of display
",5
"
WORST CUSTOMER SUPPORT
","
Purchase this or anything on Amazon at your own risk, customer support is not going to help.My unit had a physical defect, gaps on the sides from the back panel and it's a serious issue considering the phone is ip68 rated (water resistant) and this gap can cause water damage. Poor quality control as I saw some other customers reporting same issue and some units also getting water damage and then Samsung can't help there.First, they can't replace directly now. Some technician will visit and verify the issue however no one called or showed up and then I get an email saying ""Customer requested to reschedule"".Support Reps on chat are disconnecting the chat saying they can't do anything, there's a different team for these issues which is rude. It's been more than 24 hours and no one joined that chat and yet I was told ""I have option to keep this chat window open so have you can get connect with your concern team""Lastly, cherry on top is that they CAN'T change the address for the Technician's visit even if you're not at the same location where the order was delivered. Due to this, I had to wait 4 hours on a different location for the Technician's visit and no one came except for the email later saying ""Customer requested to reschedule"".Basically, you're on own after purchasing from Amazon. Think before making bigger purchases.Update: Still unresolved and denied further supportAfter a week of back and forth, finally a replacement was created however it wasn't delivered. For 5 days straight, it kept saying ""Now arriving today"" and ""Rescheduled"" and it's just stuck there.After countless hours with ~15 support and escalation agents (they all have technical issues when I ask a question), one of them canceled the order in hurry and now they can't create a new replacement order. Asking me to return the defective phone and place a new order which is by paying 6500/- more whereas I placed the order on sale for 23.5k. One agent promised that he'll refund the new order but he disconnected the chat and the next agent is not respective that offer.Currently, I'm stuck with the defective phone and support team disconnected the chat even while talking and said we can't help you anymore. That Agent also sent an email with numerous links pushing the survey links to bottom and interestingly, he modified the survey URL's domain from Amazon.in to Amazon.co.uk to avoid feedback and this was by the either by the Escalations or Leadership team.Not just the frontline Support team, Escalations and Leadership teams are also irresponsible and have such unethical and unprofessional behavior. Not to mention, no one wants to check the previous chats, you have to repeat every single thing all over again and I've done this for 2 weeks with more than 15 Agents.Next: I'm taking this social media and consumer forums.
",1
"
Very very IMP to read if you are planning to buy S20 FE 5G - Known display issue
","
Ever wondered why this model is also sold a large numbers which are refurbished? Thats because it has a display issue which are noticed within one month of purchase and if such phone arrives at service centre they replace them with another one with new phone if bought from offline store (if bought from amazon then they will repair only and you need to live with it). Then samsung repairs the faulty phone and sells as refurbished by the dealers. Otherwise such a latest model wouldnt have so many refurbished phones.Now below is my purchase experience.I bought this phone on 11th Aug 22 and on 19th Aug the display automatically stopped working. Since Amazon provides replacement for 7 days so I couldnt replace - I dont consider myself as unlucky because its the problem with most of the Samsung S20 FE 5G models, and if you go to Samsung customer review site you can see many customers complaining about it globally. Also if you visit Samsung Service Centre in India and just sit there for few hours then high chances 1-2 persons would come with this issue.I mailed to Samsung, Amazon and requested for replacement since it was a manufacturing issue but no one listened, I twitted but no help - just some usual response came from both Samsung and Amazon. Amazon said since 7 days passed so they cant help. Samsung said they dont replace online bought products although they have 14 days replacement policy but that is only for offline products.I was frustrated and raised greivance at consumer forum but there also Samsung said they cant replace the product since its purchased from Amazon. And after no help I asked Samsung Service Centre to repair the product to which they said they need to check if it was a physical damange or liquid damage etc. and they first scared me saying it looks like I messed with the product but later agreed when managed to convince them sitting the whole day in the service centre. now they are saying the screen isnt available or they are not able to order. I am holding the dead phone for almost a month now. If you are planning to buy this phone then consider yourself lucky and learn from my pathetic experience and just dont buy this phone. Better buy any other phone but not Samsung's.
",1
"
A Phone with known screen black dead problem! Stay away from Samsung.
","
I bought this phone with high hopes, it worked fine for few days, but within 2 weeks screen went black. On checking the samsung forums and amazon reviews, I understood this is a known problem and there are many customers, probably almost everyone facing this same issue who got it online. Now probably its my turn to go to service centre. I am really surprised to see Samsung neglecting customers that too S series buyers. There are some cases where consumers have raised cases vs Samsung but no response. I sincerely request Amazon to stop selling such items with known issues, as they spoil your reputation. I know Samsung is a big giant, so was Micromax and Lava at one point. We trust Amazon on their reliability and quality, but such incidents spoil the whole experience. I already told my friend to buy offline and go for Oneplus as don't want him to face this challenge.One day Samsung will learn and pay for their ignorance towards customers like us. Now there are thousands who will never buy Samsung just because of their experience with S20 FE 5G. A sensible company will recall such products from consumers or provide them a permanent fix.I too pledge never to buy a Samsung mobile in future.Update: Visited the Service centre and they replaced the display and returned the mobile same day in few hours. I have not got extended warranty as am skeptical how long the display will last, so better to cover for 2 years. Post which we can say that investment was spent over.The only good thing is Service centre had spare display ready(probably anticipating all S20 users will visit at some point). The Person ahead of me was also visiting the centre with same issue of same model, so its evident that its mass batch issue. Ideally Samsung should recall and withdraw such products from market. Anyway probably Samsung know better what to be done, but my next mobile will never be Samsung.
",1
"
Don't buy this model
","
Please do not buy samsung phones. I have bought Samsung S20 FE 5G phone before 20 days. My phone display has stopped working working now. I have seen many videos on your tube then I realized that it is common problem in this phone. Samsung service center is accepting it is manufacturing defect. However company is not ready to replace the phone. There are saying that only repair is possible. Which is  I ma fine with. All I want in return that send me confirmation on mail that same issue will not arise in future but they are not even ready to take guarantee for their own product. (THIS IS WHAT THIS BRAND IS). I have put my hard earn money on this phone.  I have visited service center for 6 time and have called in customer number many times yet there is not solution. Please if any one can guide me how to escalate this issue. It would be very much helpful.Updates. I am following up the company since last 25 days yet there is no solution from their end.I am have done so many research on it. It is manufacturing defect Samsung service center executive has told me that. I have all the proof. I am planning to file complain in court now. They are selling sub standard products. This my last Samsung phone which anyways I am not going to use it.  I will raise compensation demand in cash. Those who wants to file case. We can file a case in group as well. As we are facing same dead display problem (Display Blackout ). There are not just spoiling their image. Amazon has to look into this matter  as well. Please those wants to file case can join contact me on my email id girishpatel2433@gmail.com
",1
"
Substandard product from samsung
","
I purchased it on 24 sep and on 23rd October morning after charging, the screen went blank(BSOD) and I cant use the mobile. 23 and 24 are service center holidays and on 25 th service center after taking around 1 hr time and opening my mobile confirmed that display is gone and needs to be replaced. Displays are out of stock and asked for 4-5 days time. Having no other option and as return window is closed by 1st October, i agreed . Still in warranty, hopefully the display replacement is free of cost. I met other guy with same issue same model and same one month usage.Seems this is a sub standard product from samsung. This is my first phone from samsung and used mobiles starting from Nokia, Sony Ericsson, Motorola, One Plus..this is my first visit to any mobile service center in the last 20 years or so. Totally disappointed with samsung.Just hoping the replaced display will come longer.Huge discount on this model in sale , may be I should have not fallen. Bye bye samsung after this phone.Update:I got mobile back on 29th Oct and display was replaced free of cost as it was under warranty. But lost all my Data(which was informed) and had to setup again from scratch.Just hoping this will not happen again even after warranty.Pretty sure this is my last mobile from samsung. Bye bye.Update2:Iam seeing lot of reviews where in many mentioning its issue with Amazon purchased mobiles only, NO, I met 2 guys when Iam in service center and both had purchased from the same store where service center is located. So its issue with Samsung doesnt matter it is store purchase or Amazon.
",1
"
Screen black out issue within 15 min of delivery.
","
I got the order on 27th evening. I opened the package inserted the sim and started the phone while selecting the wifi option the screen went black. Phone was having 58% charge it is vibrating or making sound if I try to charge it.Imediately contacted customer care they said technician will come and see what is the issue. and they will proceed for the exchange. If any one went through this please let me know what solution did you got from this ?Now waiting for the Technician. I will update how this process goes..Day 2.Appointmnet for technician was fixed after 2 days.slot was 10 am to 2 pm. got a text message from amazon that I will be there till 10.30am.but thechinical guy did not show up. tried calling CC they assured they will arange it till 2pm but it was not done they have booked other slot after 2 days again.Now waiting for the next day.  I will update what the day unfolds on that day.Amazon Policy : ( As described by amazon customer care )1. They can only replace or refund ( whatever option available ) when the techincal guy give there report  to the amazon.  And there have been many cases where technical guy have submited a wrong report to amazon at last  customer suffers in this case.2. Amazon dose not have any control over the techincal service.  They can't find out where the technical person is they can't contact them they even can't communicate  with them. I don't know how amazon approve this kind of Important service on which they dont have  any control.
",1
"
Phone Screen went dead in 10 days after purchase!
","
Please do your research about the phone before you buy this phone.I bought this phone from Amazon during the Dussehra Sale Offer and I was quite happy with the Amazon fast delivery. But after 10 days of use, one morning the phone screen went blank n dead.  The phone was working as i could hear the incoming call ringtone and also the phone vibrate but mobile screen was blackout.So immediately I took the phone to the nearest Samsung service center and told them the issue. Initially they said don't worry sir since it's just 10 days from activation Samsung has complete product return n replacement policy. But then when I said it's bought from Amazon they said sorry sir in that case we just have only the warranty coverage and no complete replacement applicable! Also, when I was in the service center seeing my samsung s20 fe box fellow customers who also had similar problem called out to me asking ""oh! same issue ah!"". There were 2 customers with similar issue (phone screen blackout in few days from purchase) on that day.I feel something is not right about the Samsung s20 fe 5G as a complete product. Maybe some QA check's were comprised before the product market release. If it's just one-off instance of similar issue we can ignore and say like 1 in 100 issue can happen but that's not the case here. I asked the Samsung CC person how many such issues reported, she said with a smile, yeah quite a few similar customer issues reported!
",1
"
Black screen of death
","
Bought this during one of the sales for a decent amount of discount. But within a month of buying this phone the screen stopped working. It just went blank while I was browsing. I thought the phone shut down and kept trying to turn it on. But it wasn't responding. So I started removing the sim to put in a different phone and the phone made a sound as soon as the tray popped out, that's when I realised the phone is on but the screen had shut off.After some googling I found that this is fairly common for Samsung phones. It's been happening for many years and Samsung hasn't bothered to fix it. If only I had known this before buying the phone...This had even happened to my father's phone some 5 or so years ago. But it started back up after the phone battery discharged completely a day later, and didn't have a problem after that so brushed it off as a one off issue and didn't really look into it too much. Wasn't as lucky with this phone, will be going to a Samsung service center soon, lets see how that goes.Wanted to buy Samsung foldables in the future, but hesitant of Samsung phones in general now. Especially since this is a fairly frequent issue and they haven't bothered to fix it after so many years. And foldables have their own screen issues as well.Until this issue cropped up I was fairly happy with this phone. I would have given it 4.5 stars. One point that did bother me a bit was the weight. This thing is heavier and bulkier in hand than the M52 that my father has, despite having a smaller battery. I guess it is the better cameras and a metal frame addibg some weight. Premium touches no doubt, but the M52 is a bit more comfortable to hold in the hand and it has a marginally bigger screen and battery.  Anyway not a big deal, it was a good phone overall.
",1
"
The screen goes black out and phone is  not geting start. Just in 2 days after delivery
","
The screen goes black out and phone is  not geting start. Phone was delivered on 02/10/22 and stopped working on 04/10/22. Phone screen gose completely black out suddenly while using. And now not starting. I tried to replace this via Amazon app but the option is not available their the only option is to get the technician visit and the slot is not available for technicain visit. After calling the Amazon customer care i got appointment for 07/10/22.I am editing this review today on 14/10/22 now my phone is replaced by Amazon. Thanks to Amazon and their customer support team. Now my phone is working fine.But i have one doubt if i i have got the new phone or not. The box was sealed but when I opened their was some dirt stick on the phone. As the phone screen guard was their. Also the charging adaptor was not properly at its place.  It seem that in transit these was displaced. But generally this dose not happen. As the package is made in such a way to avoid these displacementI want to ask Samsung and Amazone if they are supplying phone with screen guard applyed on Galaxy S20FE 5G. And durt on the screen guard. Is it standerd from Samsung. I think definitely not. Request Amazone and Samsung to clearify this. I have a doubt the phone i got is refurbished. I request Samsung to clearify my doubt by checking the sl no. And IMIE no. In their records.
",1
"
FE means Fool's Edition
","
Screen - So-called Samsung's AMOLED is hype. It took me a lot of time to adjust to this screen because the colors are inaccurate.I'm using vivid mode with the white balance slider turned all the way to the right, i.e. warm.120Hz is a gimmick on this phone. You are forced to use it because 60Hz is unrealistically laggy. Compared to the aged Pixel 2XL, this phone is in no way faster by any means.Moreover, the refresh rate is not adaptive, therefore, battery drain is horrible.Speakers - Average, lack natural bass. The overall sound is on the sharper side.Battery - Poor. Don't trust screen on time. You have to charge it twice a day. I don't know what kind of a person is ""mild"" in this day and age.Performance - Software is poorly optimized. Performance is not good. It doesn't feel like a flagship.No headphone jack, but that's okay, nobody likes music anymore.Expandable storage - This is the only pro, everything else is a con. They removed this one too in S21 FE.Camera - Why do people say colors are subjective? Who purposefully likes unnatural oversaturated greens of foliage, exaggerated reds, and blues which look like they are painted on with a double brush?The overall photo is childish and basic. Compared to the Google Pixel 2, this camera is crap.And the camera app lags like crazy. It takes irritatingly long to get into the camera app, for it to be ready for clicking a shot.Ultrawide cameras are all gimmicks, so much more especially in this phone.Telephoto lacks resolution.The video quality is decent.The fingerprint sensor is horrible. Painful, really painful. You will curse it.Software - Thankfully no ads but miles away from the stock experience. Even though it has 865 SD, it feels like a middle-range phone. No, the software is NOT snappy. There are no glaring lags either but just not what you would expect. Or perhaps my expectations from a Samsung phone are unreasonable. Updates ain't so fast either. Samsung treats FE models as an afterthought.Bottom line - Don't buy this phone even if it sells for a single rupee above 30K. I made a mistake. Look elsewhere, don't be fooled by a ""near-flagship"" experience because there is none.
",1
"
Samsung Fan, Good Phone, SCREEN BLACKOUT,  Great Camera
","
I have brought this phone on august 2022 on sale for 28600, That was a great deal for this phone and I have never seen this phone in this price range. I feel heating issue at first 2 days of use  while charging, streaming Youtube and playing games(BGMI). But after software update it seems fine and doesn't have that much heating issue any more. overall the phone looks good, camera is great and a descent battery life (1 day life with streaming + browsing + call ), finger print scanner is ok not that best in market. Battery wont be enough if you are a gamer.The real issue came after 3 months of use, one day the SCREEN got BLACKED OUT while using message app. I m a Samsung fan and I have been using Samsung phone's for around 15 year. This is the first time I m facing such an issue( only freezing issue found in previous phones ), it can be restarted but screen will be blacked out after a while. and it got fixed by SCREEN REPLACEMENT from service center. And the ISSUE is there for more users who PURCHASED on SALE DAY, some people already logged this in Samsung community. Only because of this I'm giving this phone a 2 star review.
",2
